MAGNITUD,promedio_valor_dia,mediana,p75
12,66.15,54.869998931884766,80.94000244140625
14,48.87,52.61000061035156,66.80999755859375
8,37.73,36.58000183105469,45.349998474121094
10,19.29,17.100000381469727,21.899999618530273
7,18.2,10.8100004196167,23.420000076293945
9,10.38,9.130000114440918,12.520000457763672
