FECHA,valor_ramon_y_cajal,valor_escuelas_aguirre,diferencia_valores
2020-01-01,8.350000381469727,16.389999389648438,-8.039999008178711
2020-02-01,8,16.68000030517578,-8.680000305175781
2020-03-01,8.609999656677246,16.84000015258789,-8.230000495910645
2020-04-01,7.809999942779541,14.899999618530273,-7.089999675750732
2020-05-01,7.349999904632568,14.970000267028809,-7.62000036239624
2020-06-01,7.03000020980835,16.770000457763672,-9.740000247955322
2020-07-01,7.03000020980835,8.550000190734863,-1.5199999809265137
2020-08-01,7,5.809999942779541,1.190000057220459
2020-09-01,7.840000152587891,8.579999923706055,-0.7399997711181641
2020-10-01,7.389999866485596,11.0600004196167,-3.6700005531311035
2020-11-01,3.9000000953674316,8.680000305175781,-4.78000020980835
2020-12-01,8.130000114440918,10.029999732971191,-1.8999996185302734
